DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,QHnd,total_effective_ventilation_flow,ventilation_type,air_changes,Interfloor,system_performance,corridor,aereo,air_changes_max
6,2000,2664,0.0,2468.991,6507.2,2468.99,2346.82,12472.83,12004.38,6349.2,157.99,1.1793,2.7643,0.4898,518058.13,0.5217,99.31,19,400.0,2000.0,2106789.81,162730.9043,1,10.1459,5.051794458462773,0.668,21985.50398802655,82.29966666666665,11.758198099388832
13,1980,2617,,18549.72,26844.85,18549.72,1264.8,76622.93,4799.98,22638.18,4783.16,1.7811,3.398,0.8455,6698249.0,0.3504,1733.89,1,2742.45,2022.0,4037824.58,0.0,0,0.9811,4.130678522371227,0.793,142295.4605626989,618.3240000000001,14.380204045969007
5,1960,2541,0.0,8813.51,11255.98,8813.51,8813.51,35370.28,35370.28,21940.04,1666.72,1.3369,3.2578,0.464,2124886.69,0.3182,0.05,1,2953.0,2018.0,2462010.26,57179.89,1,8.0,4.013188843037564,0.723,66234.19034172292,293.78366666666665,14.801197332902088
13,1930,2939,,20888.05,26631.34,20888.05,0.0,114945.1,0.0,23804.27,3216.11,0.9051,3.1678,0.1139,10982550.0,0.2317,1128.44,1,1830.68,2017.0,2955670.53,0.0,0,0.3998,5.502911952049138,0.697,198453.1223017476,696.2683333333333,10.794285010844304
13,1975,2617,0.0,8035.05,16617.16,8035.05,8035.05,37113.34,37113.34,14737.99,2757.73,1.3957,3.2732,0.4304,3722524.0,0.4477,217.69,1,941.33,2007.0,2383391.72,0.0,0,1.59,4.618930809391354,0.931,66876.44152111033,267.835,12.860119029976824
13,1930,2617,0.0,10746.95,18812.64,10746.95,0.0,56230.54,0.0,15779.18,3033.46,1.2567,3.2336,0.4158,6280337.0,0.3346,1404.68,0,2076.2,1995.0,1866285.07,0.0,0,0.64,5.232232400820697,0.64,98233.15351890789,358.2316666666667,11.352706731964515
5,1965,2559,0.0,28455.02,26176.4,28416.53,10108.52,116003.68,41405.22,21810.87,8569.03,1.6965,4.9027,0.5041,5869436.0,0.2257,2082.5,18,24692.18,2009.0,4262831.11,0.0,0,0.9402,4.08226057157577,0.837,216142.8268592341,947.2176666666668,14.5507615103245
13,1850,2617,0.0,13919.69,23189.34,13919.69,0.0,79322.8,0.0,21386.06,1803.29,1.0492,4.053,0.1354,5665228.0,0.2923,849.15,1,2785.16,1997.0,2215222.3,0.0,0,0.7331,5.698603920058565,0.744,135886.20519160514,463.98966666666666,10.423605646800164
13,1900,2617,6.0,17410.1,32302.12,17410.1,0.0,101186.38,0.0,25564.79,6737.33,1.0664,3.8411,0.2284,7821177.0,0.3192,4202.77,0,2905.5,2018.0,3372024.49,9464.0166,2,2.2871,5.811935600599653,0.715,172587.01146571655,580.3366666666666,10.220347244362332
5,2000,2815,5.0,30992.2006,26272.77,30992.2,30992.2,152888.97,152888.97,22279.32,3974.31,0.7972,2.189,0.2048,3011237.02,0.1718,0.02,0,8292.0,2000.0,2853671.64,28.9872,1,0.807546409609154,4.933143500622737,0.75,270896.401290967,1033.0733333333333,12.04100387359533
13,1980,2778,,15585.9,25642.89,15585.9,0.0,70500.45,0.0,22360.44,3282.45,0.7431,3.085,0.2702,5934019.0,0.3637,1701.73,19,2100.0,2017.0,1974339.05,58534.6133,2,3.4509,4.523348026100514,1.11,127723.20957896202,519.53,13.131865966812978
13,1970,2524,0.0,11357.43,25569.21,11357.43,11357.43,50054.94,50054.94,23314.22,3477.79,1.3447,3.2464,0.4853,5201548.0,0.5108,781.95,19,1400.0,2014.0,2714141.48,0.0,0,0.64,4.4072417791701115,0.986,91316.88567882589,378.581,13.47781741422525
7,1650,2617,0.0,14395.295,31742.44,14395.3,14395.3,132145.89,132145.89,25196.16,1525.71,1.1061,3.1876,0.0551,3014603.16,0.2402,854.34,0,2162.0,1990.0,2729088.62,67542.0491,3,0.7,9.17979409946302,0.733,207356.08031253095,479.8433333333333,6.470733369006027
13,1990,2617,,12865.3,22572.67,12865.3,1872.75,61771.01,9479.82,20719.52,2048.36,1.0723,2.4159,0.3201,4236468.0,0.3654,768.91,19,2000.0,2016.0,2065236.42,44820.9609,2,1.8,4.801365689101693,1.067,110200.70192652468,428.8433333333333,12.371480084266064
5,2018,3012,,2835.09,48998.56,46370.01,46370.01,203455.45,203455.45,42287.17,10541.14,0.8783,5.4973,0.1845,9498289.0,0.2408,1495.56,0,21953.36,2018.0,5302486.17,130180.8359,2,0.5294,4.387651630870901,1.131,371575.7225672958,1545.667,13.537993668884267
13,1975,2553,,17595.52,23889.84,17595.52,953.09,84853.3,4471.64,19667.2,4222.64,0.8347,2.8938,0.2272,8121902.0,0.2815,1788.75,19,2800.0,2017.0,2046653.04,19651.6133,2,0.6972,4.822437756883571,1.06,151207.62762334818,586.5173333333333,12.317421809169472
13,1974,2553,0.0,11016.22,15662.84,11016.22,0.0,47511.57,0.0,13019.05,2643.79,1.4923,3.2658,0.5701,3270868.0,0.3297,1397.19,1,1165.84,2017.0,1848671.64,20003.4023,2,1.7132,4.3128741074524655,0.802,87187.47676185724,367.20733333333334,13.772718266308608
13,1962,2637,,2172.24,18976.7,13577.55,1561.93,67445.02,16385.53,16562.58,2551.07,1.2105,3.485,0.3679,1275017.0,0.2814,979.98,19,2835.82,2010.0,2937881.72,24500.0,1,1.7846,4.967392497173644,0.651,119306.99434803416,452.585,11.957983999411669
13,1900,2617,,16904.19,26254.38,16904.19,33.96,102658.0,207.81,22820.74,3962.59,0.7977,3.0782,0.1877,9496266.0,0.2557,1448.99,19,2800.0,2016.0,2338242.4,0.0,0,0.3586,6.072932213847573,1.178,173455.7770136958,563.473,9.781107035009448
4,1915,2617,0.0,1082.08,13557.76,8243.94,8243.94,35035.53,35035.53,12103.92,1766.94,0.8885,5.1623,0.1373,2239964.0,0.387,760.41,1,1417.0,2020.0,2013648.16,47800.0,2,1.0331,4.249852619014694,0.573,64556.706302043094,274.798,13.9769552793978
13,1975,2617,4.0,5538.1001,13714.04,7704.68,0.0,33356.04,0.0,10874.6,2839.44,1.5217,5.4893,0.5625,1469420.83,0.4111,0.07,1,1473.0,2016.0,11532570.4,5.529,0,0.898336310455624,4.329321918626082,4.922,61151.318198314024,256.8226666666667,13.720393427996848
5,1971,2939,0.0,37840.87,43975.64,37840.87,37840.87,148230.74,148230.74,71683.99,3262.39,1.5366,4.7587,0.3715,9514137.43,0.2967,0.02,0,6210.0,2000.0,2316793.96,22.78,0,0.5,3.917212791354955,0.602,279494.6199329477,1261.3623333333337,15.163843059813372
4,1729,2617,,12858.15,32114.07,19476.05,0.0,90184.53,0.0,29050.58,3059.62,0.8921,3.9014,0.1324,5347264.0,0.3561,1861.19,1,2547.0,2019.0,1792135.83,0.0,0,0.4114,4.6305349390661865,0.743,162382.55137225904,649.2016666666666,12.8278915463661
13,1975,2617,1.0,5118.6499,8027.18,5853.89,0.0,33503.62,0.0,6914.81,1112.38,1.3715,5.736,0.4866,934308.77,0.2396,0.05,1,982.0,2016.0,4990839.94,6.6148,0,0.791535554768487,5.723308774165555,3.266,57349.40209686514,195.12966666666668,10.378611803739416
13,1915,2617,1.0,7131.1,15689.05,7923.0,0.0,47094.9,0.0,13997.57,1691.48,1.3615,3.1854,0.067,1869951.95,0.3331,0.07,1,1964.0,2016.0,4946553.08,9.0428,0,0.833245298569615,5.94407421431276,2.131,79946.82292031735,264.1,9.993145754635853
4,2008,2617,,20084.73,24128.76,20084.73,16040.04,84481.36,65452.13,21009.11,3119.65,1.2542,3.4105,0.1272,3981224.0,0.2856,1505.17,19,3981.0,2008.0,2265323.75,90574.4219,2,11.7931,4.206248229376247,1.045,156093.49928732376,669.491,14.121848440886842
13,1980,2687,0.0,10409.72,25582.12,10409.72,4748.45,42947.42,19781.56,23924.87,1657.25,0.815,3.3341,0.1924,5016937.0,0.5957,748.25,31,9139.09,2000.0,1954218.15,42368.7812,1,3.4105,4.1257036692629585,0.669,79789.6493590698,346.99066666666664,14.397543973537871
11,1991,3012,,7847.99,11381.71,7847.99,0.0,73699.0,0.0,10899.25,994.62,0.9512,3.0155,0.2369,1877990.0,0.1544,217.42,1,2843.76,2021.0,2944420.48,127211.9688,2,1.863,9.390812169740276,0.594,115267.06553728442,261.5996666666667,6.325331497035238
5,1986,2542,0.0,2840.7,4423.67,3506.6,2581.4,14365.3,10663.5,3918.23,492.44,1.9546,4.6844,0.4098,532065.96,0.3079,0.01,18,375.84,2013.0,5171713.51,6.0647,0,4.00000000000001,4.0966463240746025,5.144,26750.065132770673,116.88666666666668,14.499665165363758
5,1978,2617,0.0,6815.558,8647.11,6815.56,6815.56,27340.01,27340.01,8091.75,495.74,1.4366,1.2,0.2568,1837126.54,0.3163,246.11,19,1150.0,2019.0,2190502.11,82895.6703,2,8.0,4.0114106544436545,0.769,51206.01066607185,227.18533333333335,14.80775844632098
13,1960,2617,,12760.81,23780.52,14615.93,0.0,67265.1,0.0,21465.27,2626.6,1.0616,2.834,0.2985,5536376.0,0.3535,1251.81,1,1312.62,2022.0,2051498.07,17933.668,2,1.5663,4.602177213492402,0.702,121311.80397350094,487.1976666666667,12.906934532171958
11,1980,2687,0.0,8672.042,24192.72,8672.04,4284.48,54808.28,37266.57,22009.45,2183.27,0.6561,3.8259,0.1443,3991797.0,0.4414,1669.48,31,9139.09,2000.0,2655223.8,148609.3438,1,3.44,6.320113837113297,0.669,91852.47445003844,289.06800000000004,9.398564888370885
13,1975,2589,1.0,5025.36,11317.52,5025.36,0.0,25179.95,0.0,14924.46,1096.41,0.9131,5.6204,0.1155,2463196.17,0.4495,0.05,19,600.0,2010.0,1662724.16,3.9695,0,0.478528243791849,5.010576356718723,0.78,44457.10025620194,167.512,11.854923619784786
13,1850,2463,0.0,7022.64,16344.86,7022.64,7022.64,61192.78,61192.78,15424.57,920.29,1.0897,2.4726,0.1304,4618556.0,0.2671,524.13,0,19282.98,2003.0,2224144.46,83549.7969,2,1.1173,8.713643302233917,0.631,96805.01472835631,234.088,6.8168959802120455
13,1980,2687,0.0,8618.26,20338.25,8618.26,4125.4,34969.2,17239.47,18902.47,1435.78,0.8689,3.556,0.2756,3814322.0,0.5816,649.77,31,9139.09,2000.0,1654994.67,54864.4531,1,3.4006,4.057570785750255,0.619,65277.265270496784,287.2753333333333,14.639300984866685
