DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,QHnd,total_effective_ventilation_flow,ventilation_type,air_changes,Interfloor,system_performance,corridor,aereo,air_changes_max
13,2005,4100,,5870.33,15850.11,5870.33,0.0,26118.44,0.0,14744.72,1105.39,0.2433,2.9359,0.0823,2790665.0,0.6069,387.41,1,756.9,2022.0,905350.64,2948.3655,2,0.64,4.449228578291169,0.833,47534.22946868061,195.67766666666665,13.350628980903911
8,1966,4316,0.0,95.8,592.94,95.8,0.0,487.45,0.0,514.07,20.57,0.7576,1.4965,0.0774,11152.02,1.2164,5.9,0,22.0,2021.0,101426.03,3629.6,0,5.69,5.088204592901879,1.215,872.3932959492483,3.193333333333334,11.674058877833623
4,1920,4030,1.0,93.3,151.2,93.3,0.0,381.6,0.0,111.36,39.84,2.3353,2.818,0.4397,103021.88,0.3962,0.07,0,104.0,2004.0,345828.15,0.0421,0,0.550940883444504,4.090032154340836,0.651,722.8584685560456,3.11,14.523113207547167
4,1970,4694,0.0,60.0,224.3,60.0,0.0,258.1,0.0,205.9,18.4,0.9413,2.1906,0.4366,34657.2,0.869,0.05,0,67.2,1994.0,25209.69,0.0,0,0.65382521037945,4.301666666666667,0.663,486.80577519379847,2.0,13.808601317318868
6,1992,3832,0.0,166.13,619.53,166.13,0.0,670.64,0.0,585.19,54.55,0.9436,4.0608,0.6957,89833.16,0.9238,13.47,31,103.59,2010.0,89977.43,0.0,0,2.6184,4.0368386203575515,0.651,1265.6016011323904,5.5376666666666665,14.7144846713587
6,2014,3866,0.0,148.0,609.54,148.0,0.0,865.63,0.0,582.95,26.59,0.3308,1.508,0.1259,31906.43,0.7042,3.02,1,19.5,2014.0,25077.31,0.0,0,0.64,5.848851351351351,0.744,1491.8129106432011,4.933333333333334,10.15584025507434
12,2000,5154,0.0,223.9,864.01,223.9,0.0,1377.83,0.0,838.68,40.25,0.1616,1.758,0.12,107876.88,0.6271,0.04,1,34.9,2023.0,71837.92,689.26,0,0.5,6.153774006252791,0.615,2339.8168258947276,7.463333333333334,9.652613167081572
7,2000,4545,0.0,185.32,675.98,246.91,0.0,1099.08,0.0,648.3,25.35,1.108,2.6648,0.4638,107683.28,0.615,0.01,1,31.9,2013.0,139277.27,0.7273,0,2.40785902893075,4.451338544408894,0.676,2012.8086667960176,8.230333333333332,13.34430068784802
13,1969,3515,0.0,365.0,471.0,365.0,0.0,1468.8,0.0,418.08,49.92,0.6158,4.2278,0.166,105943.2,0.3207,0.02,0,50.0,2017.0,51115.78,1079.9053,0,0.92457648,4.024109589041096,0.764,2759.890933418286,12.166666666666666,14.761029411764708
4,1980,4264,1.0,157.44,530.14,157.44,0.0,581.29,0.0,378.48,25.19,1.1729,4.7039,0.6942,33875.33,0.912,0.06,1,29.1,2015.0,48142.15,445.18,0,0.65,3.6921366869918697,0.716,1126.6395108361694,5.248,16.088245110013936
13,1969,3515,0.0,365.0,471.0,365.0,0.0,1468.8,0.0,418.08,49.92,1.2708,4.2278,1.2252,105943.2,0.3207,0.02,31,50.0,2017.0,66039.36,1079.9053,0,0.92457648,4.024109589041096,0.735,2759.890933418286,12.166666666666666,14.761029411764708
7,1930,3783,1.0,548.67,1193.75,548.67,0.0,2656.47,0.0,1113.13,80.62,0.8392,0.8672,0.0427,275689.4,0.4494,32.52,1,72.97,2020.0,87980.24,0.0,0,1.0,4.841653452895183,0.695,4743.1433324517075,18.289,12.268536064777694
4,1890,3826,0.0,592.345,1530.55,592.35,0.0,2811.76,0.0,1069.15,85.28,1.1245,2.9825,0.2992,207203.28,0.5443,30.02,19,70.0,2020.0,211911.63,9429.7558,0,4.1338,4.7467882164261,0.716,5044.382767750054,19.745,12.513724499957322
13,1930,3877,0.0,235.65,976.91,348.72,0.0,1575.18,0.0,664.47,61.63,1.4281,1.3687,0.2904,93874.02,0.6202,0.06,19,68.9,2000.0,93135.37,1858.38,0,0.99,4.517033723331039,0.805,2867.999473263017,11.624,13.15022283167638
10,2019,3578,1.0,547.3,1852.5,547.3,0.0,2210.1,0.0,1613.5,239.0,0.8999,3.1092,0.0264,201937.5,0.8382,0.13,0,110.0,2019.0,204674.01,0.5199,0,1.00584,4.0381874657409105,1.115,4142.609911234432,18.243333333333332,14.709569702728384
8,1900,3781,0.0,222.46,940.71,222.46,0.0,1245.55,0.0,915.71,27.64,2.1315,3.4884,0.3724,69604.03,0.7553,0.02,31,105.0,1980.0,162149.19,657.0908,2,2.00408117115479,5.5989840870268806,0.683,2158.664704199065,7.415333333333334,10.609067480229616
13,1900,3663,0.0,639.81,1574.11,639.81,0.0,3184.45,0.0,1093.67,105.59,0.5255,1.7928,0.1069,180289.21,0.4943,0.02,0,170.0,2006.0,99096.0,5467.94,0,1.01,4.977180725527891,0.875,5644.639991788986,21.327,11.934467176435492
4,1974,3730,0.0,138.91,1072.11,515.13,0.0,2027.25,0.0,994.27,119.08,0.711,1.4137,0.0957,305481.7,0.5288,27.45,0,78.8,1998.0,56157.63,0.0,0,0.3857,3.93541436142333,0.742,3828.9246151772936,17.171,15.09370921198668
4,1950,3781,1.0,155.64,1844.73,765.11,0.0,3215.59,0.0,1679.03,162.12,1.1707,3.1031,0.26,268562.45,0.5737,0.05,1,146.4,2020.0,186201.39,1452.3909,0,0.856136951600046,4.202781299420998,0.803,5954.83446792927,25.503666666666668,14.133497740694551
8,1992,3974,0.0,171.14,509.5,171.14,0.0,647.48,0.0,388.18,48.3,1.1381,2.864,0.61,93831.54,0.7869,0.07,0,46.0,1993.0,24716.69,255.97,0,0.5,3.783335281056446,0.794,1244.7966725098358,5.704666666666666,15.700432445789833
7,2010,3961,0.0,378.0,934.87,378.0,0.0,1719.7,0.0,880.33,73.62,0.8976,1.963,1.3244,70300.26,0.5436,0.06,0,30.0,2015.0,114843.26,1574.5949,0,2.72040157550557,4.5494708994709,0.705,3124.1166297526765,12.6,13.056463336628482
4,1950,3968,,717.0,1459.0,717.0,0.0,3218.0,0.0,1361.16,97.84,0.2053,2.2794,0.0004,351285.0,0.4534,10.7,1,60.5,2020.0,39526.46,0.0,0,0.5246,4.488145048814505,1.242,5854.852032045668,23.9,13.23486637663145
5,1990,4100,,918.77,1939.9,918.77,510.39,3429.13,1866.03,1840.88,99.02,0.6918,2.8994,0.5433,363286.5,0.5657,26.11,1,272.0,2019.0,130818.25,891.4668,2,0.64,3.732305147098838,0.702,6570.4774580769545,30.625666666666667,15.915097415379412
4,1850,3865,0.0,368.198,1201.71,368.2,0.0,1660.7,0.0,1140.95,34.53,1.7816,3.8275,0.259,119958.42,0.7236,18.83,0,56.2,1990.0,177629.94,1006.0642,0,1.2011,4.510320478001087,0.722,3024.1371629843907,12.273333333333332,13.169795869211775
