DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,QHnd,total_effective_ventilation_flow,ventilation_type,air_changes,Interfloor,system_performance,corridor,aereo,air_changes_max
13,1970,2958,0.0,897.7,2289.27,897.7,897.7,4032.84,4032.84,2117.3,250.29,0.9717,3.4417,0.3619,433626.1,0.5677,38.59,1,492.0,2016.0,210016.72,0.0,0,0.8648,4.492413946752813,0.818,7332.134451142584,29.923333333333336,13.222289999107332
6,2003,2873,,153.76,645.98,153.76,0.0,713.7,0.0,607.84,38.14,1.1827,1.596,0.3891,106587.9,0.9051,5.26,1,34.34,2022.0,31208.43,0.0,0,0.64,4.641649323621229,0.655,1298.0756456452823,5.125333333333333,12.797175283732658
4,2000,3012,0.0,82.12,96.07,82.12,82.12,317.7,317.7,40.86,39.78,0.9253,4.6932,0.3905,18341.51,0.3024,3.24,31,1064.0,2003.0,19399.36,11.44,2,0.8,3.8687286897223574,0.613,612.8145581621903,2.7373333333333334,15.353881019830032
4,2003,3005,0.0,401.466,1061.28,401.47,401.47,1852.34,1852.34,769.35,118.84,1.1676,2.808,0.1816,122072.41,0.5729,66.6,19,80.0,2010.0,61600.1,1677.1256,0,4.72,4.61389393977134,0.668,3351.9239298813295,13.382333333333332,12.87415809192697
5,1930,2918,,385.02,976.93,385.02,0.0,1673.53,0.0,907.96,68.97,0.8809,3.297,0.2127,198888.8,0.5838,29.51,1,109.92,2015.0,55505.68,0.0,0,0.5135,4.3466053711495505,0.64,3077.1308238653864,12.834,13.665836883712869
5,1970,2870,0.0,366.1,1037.06,366.1,321.9,1755.0,1538.29,961.42,109.85,1.3077,2.4033,0.8279,152847.8,0.5909,22.11,1,80.0,2014.0,72343.6,1607.7341,1,0.534,4.793772193389784,0.794,3146.1789909987738,12.203333333333337,12.391076923076923
8,2017,3306,0.0,82.59,255.14,82.59,82.59,410.65,410.65,238.66,16.48,0.4695,1.0163,0.0374,22481.49,0.6213,2.39,1,33.95,2017.0,48855.0,0.0,0,7.0987,4.9721515922024455,0.844,741.0746718308709,2.753,11.94653841470839
13,1990,2870,,4274.709,5203.03,4274.71,136.06,14396.36,489.64,4301.88,901.15,1.1794,2.9966,0.4515,1457385.0,0.3614,153.34,1,1844.5,2000.0,635389.05,0.0,0,0.64,3.367798049458326,0.628,28450.553084070856,142.49033333333333,17.637637152724718
12,1960,3062,0.0,173.65,809.29,173.65,173.65,829.93,829.93,790.79,18.5,0.3528,2.2289,0.0858,133533.5,0.9751,6.77,1,24.82,2012.0,57365.16,0.0,0,3.44,4.779326230924273,0.871,1496.479916677269,5.788333333333333,12.428530116997822
4,1975,2899,0.0,494.84,675.05,494.84,0.0,1645.77,0.0,637.49,37.56,1.2003,1.1171,0.222,157272.8,0.4102,6.21,1,82.96,2010.0,34772.2,0.0,0,0.3712,3.3258629051814728,0.579,3274.572937552754,16.494666666666667,17.86002661368235
