scenario,predizione,predizione_min,predizione_max,param_average_opaque_surface_transmittance,param_average_glazed_surface_transmittance,variazione_pct
Base (media cluster),2755366.607996602,526824.7009732374,4983908.515019966,1.15762,3.6120571428571426,0.0
Scenario 1,2768028.718537394,555004.6355615016,4981052.801513284,0.5,1.0,0.4595435868332006
Scenario 2,2768028.718537394,555004.6355615016,4981052.801513284,0.2,0.7,0.4595435868332006
