scenario,predizione,predizione_min,predizione_max,param_average_opaque_surface_transmittance,param_average_glazed_surface_transmittance,variazione_pct
Base (media cluster),236357.11435299975,213699.7206542654,259014.5080517341,1.0344504672897197,3.1865995327102805,0.0
Scenario 1,172161.9664056532,149504.57270691884,194819.36010438754,0.5,1.0,-27.160235105709994
Scenario 2,133489.59229476898,110832.19859603465,156146.98599350333,0.2,0.7,-43.52207562688295
