average_opaque_surface_transmittance,average_glazed_surface_transmittance,predizione,predizione_min,predizione_max
0.1414,0.7908,82344.25,60742.139875000015,103946.36012499998
0.1414,1.166842105263158,83503.49,61901.382062500015,105105.60231249998
0.1414,1.5428842105263159,84445.055,62842.944562500015,106047.16481249998
0.1414,1.9189263157894736,87741.984,66139.87425000002,109344.09449999998
0.1414,2.2949684210526318,87741.984,66139.87425000002,109344.09449999998
0.1414,2.6710105263157895,99099.03,77496.92112500002,120701.14137499998
0.1414,3.0470526315789472,99099.03,77496.92112500002,120701.14137499998
0.1414,3.4230947368421054,99099.03,77496.92112500002,120701.14137499998
0.1414,3.799136842105263,105326.03,83723.92112500002,126928.14137499998
0.1414,4.175178947368421,109321.89,87719.78050000002,130924.00074999998
0.1414,4.551221052631579,109734.69,88132.57737500002,131336.79762499998
0.1414,4.927263157894737,111844.81,90242.70237500002,133446.92262499998
0.1414,5.3033052631578945,111844.81,90242.70237500002,133446.92262499998
0.1414,5.679347368421053,111844.81,90242.70237500002,133446.92262499998
0.1414,6.055389473684211,132973.19,111371.07737500002,154575.29762499998
0.1414,6.431431578947368,145998.84,124396.73362500002,167600.95387499998
0.1414,6.807473684210526,145998.84,124396.73362500002,167600.95387499998
0.1414,7.1835157894736845,145998.84,124396.73362500002,167600.95387499998
0.1414,7.559557894736842,145998.84,124396.73362500002,167600.95387499998
0.1414,7.9356,145998.84,124396.73362500002,167600.95387499998
0.29109473684210524,0.7908,82344.25,60742.139875000015,103946.36012499998
0.29109473684210524,1.166842105263158,83503.49,61901.382062500015,105105.60231249998
0.29109473684210524,1.5428842105263159,84445.055,62842.944562500015,106047.16481249998
0.29109473684210524,1.9189263157894736,87741.984,66139.87425000002,109344.09449999998
0.29109473684210524,2.2949684210526318,87741.984,66139.87425000002,109344.09449999998
0.29109473684210524,2.6710105263157895,99099.03,77496.92112500002,120701.14137499998
0.29109473684210524,3.0470526315789472,99099.03,77496.92112500002,120701.14137499998
0.29109473684210524,3.4230947368421054,99099.03,77496.92112500002,120701.14137499998
0.29109473684210524,3.799136842105263,105326.03,83723.92112500002,126928.14137499998
0.29109473684210524,4.175178947368421,109321.89,87719.78050000002,130924.00074999998
0.29109473684210524,4.551221052631579,109734.69,88132.57737500002,131336.79762499998
0.29109473684210524,4.927263157894737,111844.81,90242.70237500002,133446.92262499998
0.29109473684210524,5.3033052631578945,111844.81,90242.70237500002,133446.92262499998
0.29109473684210524,5.679347368421053,111844.81,90242.70237500002,133446.92262499998
0.29109473684210524,6.055389473684211,132973.19,111371.07737500002,154575.29762499998
0.29109473684210524,6.431431578947368,145998.84,124396.73362500002,167600.95387499998
0.29109473684210524,6.807473684210526,145998.84,124396.73362500002,167600.95387499998
0.29109473684210524,7.1835157894736845,145998.84,124396.73362500002,167600.95387499998
0.29109473684210524,7.559557894736842,145998.84,124396.73362500002,167600.95387499998
0.29109473684210524,7.9356,145998.84,124396.73362500002,167600.95387499998
0.4407894736842105,0.7908,97987.69,76385.57737500002,119589.79762499998
0.4407894736842105,1.166842105263158,99146.93,77544.81956250002,120749.03981249998
0.4407894736842105,1.5428842105263159,100088.49,78486.38206250002,121690.60231249998
0.4407894736842105,1.9189263157894736,103385.42,81783.31175000002,124987.53199999998
0.4407894736842105,2.2949684210526318,103385.42,81783.31175000002,124987.53199999998
0.4407894736842105,2.6710105263157895,114742.47,93140.35862500002,136344.57887499998
0.4407894736842105,3.0470526315789472,114742.47,93140.35862500002,136344.57887499998
0.4407894736842105,3.4230947368421054,114742.47,93140.35862500002,136344.57887499998
0.4407894736842105,3.799136842105263,120969.47,99367.35862500002,142571.57887499998
0.4407894736842105,4.175178947368421,124965.33,103363.21800000002,146567.43824999998
0.4407894736842105,4.551221052631579,125378.12,103776.00706250002,146980.22731249998
0.4407894736842105,4.927263157894737,127488.24,105886.13206250002,149090.35231249998
0.4407894736842105,5.3033052631578945,127488.24,105886.13206250002,149090.35231249998
0.4407894736842105,5.679347368421053,127488.24,105886.13206250002,149090.35231249998
0.4407894736842105,6.055389473684211,148616.62,127014.51487500002,170218.73512499998
0.4407894736842105,6.431431578947368,161642.27,140040.15550000002,183244.37574999998
0.4407894736842105,6.807473684210526,161642.27,140040.15550000002,183244.37574999998
0.4407894736842105,7.1835157894736845,161642.27,140040.15550000002,183244.37574999998
0.4407894736842105,7.559557894736842,161642.27,140040.15550000002,183244.37574999998
0.4407894736842105,7.9356,161642.27,140040.15550000002,183244.37574999998
0.5904842105263157,0.7908,115546.305,93944.19456250002,137148.41481249998
0.5904842105263157,1.166842105263158,116705.55,95103.43675000002,138307.65699999998
0.5904842105263157,1.5428842105263159,117647.11,96044.99925000002,139249.21949999998
0.5904842105263157,1.9189263157894736,120944.04,99341.92893750002,142546.14918749998
0.5904842105263157,2.2949684210526318,120944.04,99341.92893750002,142546.14918749998
0.5904842105263157,2.6710105263157895,132301.06,110698.95237500002,153903.17262499998
0.5904842105263157,3.0470526315789472,132301.06,110698.95237500002,153903.17262499998
0.5904842105263157,3.4230947368421054,132301.06,110698.95237500002,153903.17262499998
0.5904842105263157,3.799136842105263,138528.08,116925.96800000002,160130.18824999998
0.5904842105263157,4.175178947368421,142523.94,120921.82737500002,164126.04762499998
0.5904842105263157,4.551221052631579,142936.73,121334.62425000002,164538.84449999998
0.5904842105263157,4.927263157894737,145046.86,123444.74925000002,166648.96949999998
0.5904842105263157,5.3033052631578945,145046.86,123444.74925000002,166648.96949999998
0.5904842105263157,5.679347368421053,145046.86,123444.74925000002,166648.96949999998
