scenario,predizione,predizione_min,predizione_max,param_average_opaque_surface_transmittance,param_average_glazed_surface_transmittance,variazione_pct
Base (media cluster),139866.61604999998,39734.72715969768,239998.50494030234,0.9476125,2.601834375,0.0
Scenario 1,127354.74780000001,29493.833252914264,225215.66234708577,0.5,1.0,-8.945571576227444
Scenario 2,126083.47195000002,25077.229088670618,227089.71481132938,0.2,0.7,-9.854491721650517
